"nmf_type","fixW","beta","addedCompW","noise","noise.lvl","Sample","F","P","R"
"NMF","adaptive",0,2,"airplane",1,8,0.74,0.63,0.89
"NMF","adaptive",0,2,"airplane",1,4,0.57,0.39,1
"NMF","adaptive",0,2,"airplane",1,15,0.44,0.29,0.85
"NMF","adaptive",0,2,"airplane",1,3,0.61,0.55,0.68
"NMF","adaptive",0,2,"airplane",1,12,0.43,0.31,0.71
"NMF","adaptive",0,2,"airplane",1,2,0.81,0.71,0.94
"NMF","adaptive",0,2,"airplane",1,13,0.64,0.61,0.67
"NMF","adaptive",0,2,"airplane",1,5,0.56,0.41,0.88
"NMF","adaptive",0,2,"airplane",1,14,0.53,0.38,0.85
"NMF","adaptive",0,3,"airplane",1,20,0.42,0.29,0.77
"NMF","adaptive",0,3,"airplane",1,18,0.58,0.45,0.81
"NMF","adaptive",0,3,"airplane",1,9,0.43,0.35,0.56
"NMF","adaptive",0,3,"airplane",1,11,0.51,0.36,0.88
"NMF","adaptive",0,3,"airplane",1,7,0.4,0.34,0.48
"NMF","adaptive",0,3,"airplane",1,16,0.39,0.28,0.65
"NMF","adaptive",0,3,"airplane",1,6,0.53,0.36,0.96
"NMF","adaptive",0,3,"airplane",1,17,0.73,0.62,0.88
"NMF","adaptive",0,3,"airplane",1,1,0.6,0.49,0.77
"NMF","adaptive",0,3,"airplane",1,10,0.76,0.67,0.89
"NMF","adaptive",0,3,"airplane",1,19,0.61,0.47,0.88
"NMF","adaptive",0,3,"airplane",1,8,0.7,0.58,0.89
"NMF","adaptive",0,3,"airplane",1,4,0.61,0.44,1
"NMF","adaptive",0,3,"airplane",1,15,0.43,0.29,0.81
"NMF","adaptive",0,3,"airplane",1,3,0.55,0.47,0.68
"NMF","adaptive",0,3,"airplane",1,12,0.45,0.33,0.74
"NMF","adaptive",0,3,"airplane",1,2,0.82,0.76,0.89
"NMF","adaptive",0,3,"airplane",1,13,0.53,0.48,0.59
"NMF","adaptive",0,3,"airplane",1,5,0.62,0.49,0.84
"NMF","adaptive",0,3,"airplane",1,14,0.51,0.4,0.7
"NMF","adaptive",0,4,"airplane",1,20,0.5,0.38,0.74
"NMF","adaptive",0,4,"airplane",1,18,0.59,0.47,0.81
"NMF","adaptive",0,4,"airplane",1,9,0.48,0.33,0.84
"NMF","adaptive",0,4,"airplane",1,11,0.48,0.34,0.8
"NMF","adaptive",0,4,"airplane",1,7,0.4,0.35,0.48
"NMF","adaptive",0,4,"airplane",1,16,0.38,0.26,0.7
"NMF","adaptive",0,4,"airplane",1,6,0.52,0.36,0.96
"NMF","adaptive",0,4,"airplane",1,17,0.72,0.61,0.88
"NMF","adaptive",0,4,"airplane",1,1,0.62,0.5,0.8
"NMF","adaptive",0,4,"airplane",1,10,0.55,0.42,0.8
"NMF","adaptive",0,4,"airplane",1,19,0.68,0.57,0.85
"NMF","adaptive",0,4,"airplane",1,8,0.75,0.64,0.92
"NMF","adaptive",0,4,"airplane",1,4,0.56,0.38,1
"NMF","adaptive",0,4,"airplane",1,15,0.35,0.23,0.78
"NMF","adaptive",0,4,"airplane",1,3,0.67,0.59,0.77
"NMF","adaptive",0,4,"airplane",1,12,0.44,0.32,0.71
"NMF","adaptive",0,4,"airplane",1,2,0.76,0.65,0.92
"NMF","adaptive",0,4,"airplane",1,13,0.56,0.53,0.6
"NMF","adaptive",0,4,"airplane",1,5,0.65,0.52,0.84
"NMF","adaptive",0,4,"airplane",1,14,0.51,0.39,0.74
"NMF","adaptive",0,5,"airplane",1,20,0.43,0.3,0.74
"NMF","adaptive",0,5,"airplane",1,18,0.64,0.52,0.81
"NMF","adaptive",0,5,"airplane",1,9,0.62,0.49,0.84
